# Detector Threshold (MeV)
S1_01 0.4603 -1
S1_02 0.4249 -1
S1_03 0.4894 -1
S1_04 0.3651 -1
S1_05 0.4731 -1
S2_01 0.3672 -1
S2_02 0.3321 -1
S2_03 0.3594 -1
S2_04 0.4498 -1
S2_05 0.3944 -1
S2_06 0.5421 -1
S2_07 0.8517 -1
S2_08 0.4025 -1
S2_09 0.8054 -1
S2_10 0.3477 -1
S2_11 0.6124 -1
S2_12 0.7680 -1
S2_13 0.3778 -1
S2_14 0.4911 -1
S2_15 0.3687 -1
S2_16 0.6382 -1
S2_17 0.7649 -1
S2_18 0.6521 -1
S2_19 0.6130 -1
S2_20 1.3333 -1
S2_21 0.6006 -1
S2_22 0.7502 -1
S2_23 0.8657 -1
S2_24 0.9242 -1
S2_25 0.8075 -1
S2_26 0.9805 -1
S2_27 1.0355 -1
S2_28 0.6466 -1
S2_29 1.0435 -1
S2_30 1.1218 -1
S2_31 1.0104 -1
S2_32 1.0201 -1
