# Detector Threshold (MeV)
S1_01 0.4422 -1
S1_02 0.4190 -1
S1_03 0.3944 -1
S1_04 0.3644 -1
S1_05 0.4768 -1
S2_01 0.3792 -1
S2_02 0.3441 -1
S2_03 0.3848 -1
S2_04 0.4725 -1
S2_05 0.4314 -1
S2_06 0.5742 -1
S2_07 0.9899 -1
S2_08 0.4158 -1
S2_09 0.8969 -1
S2_10 0.3665 -1
S2_11 0.6624 -1
S2_12 0.7680 -1
S2_13 0.4738 -1
S2_14 0.5388 -1
S2_15 0.3930 -1
S2_16 0.6382 -1
S2_17 0.7860 -1
S2_18 0.6874 -1
S2_19 0.6560 -1
S2_20 1.4308 -1
S2_21 0.6481 -1
S2_22 0.8463 -1
S2_23 0.9191 -1
S2_24 0.9854 -1
S2_25 0.8924 -1
S2_26 1.3145 -1
S2_27 1.1578 -1
S2_28 0.7266 -1
S2_29 1.3515 -1
S2_30 0.6978 -1
S2_31 1.0678 -1
S2_32 1.1475 -1

